Target Schema,Query Attribute,Matched Attribute,Confidence Score,Match Type
CanCOGeNCovid19,location_of_exposure_geo_loc_name_country,location_of_exposure_geo_loc_name_country,100.0%,Exact
CanCOGeNCovid19,host_age_unit,host_age_unit,100.0%,Exact
CanCOGeNCovid19,exposure_event,exposure_event,100.0%,Exact
CanCOGeNCovid19,biosample_accession,biosample_accession,100.0%,Exact
CanCOGeNCovid19,travel_history,travel_history,100.0%,Exact
CanCOGeNCovid19,number_of_vaccine_doses_received,number_of_vaccine_doses_received,100.0%,Exact
CanCOGeNCovid19,symptom_onset_date,symptom_onset_date,100.0%,Exact
CanCOGeNCovid19,consensus_sequence_filename,consensus_sequence_filename,100.0%,Exact
CanCOGeNCovid19,destination_of_most_recent_travel_state_province_territory,destination_of_most_recent_travel_state_province_territory,100.0%,Exact
CanCOGeNCovid19,host_health_outcome,host_health_outcome,100.0%,Exact
CanCOGeNCovid19,authors,authors,100.0%,Exact
CanCOGeNCovid19,host_residence_geo_loc_name_state_province_territory,host_residence_geo_loc_name_state_province_territory,100.0%,Exact
CanCOGeNCovid19,body_product,body_product,100.0%,Exact
CanCOGeNCovid19,host_disease,host_disease,100.0%,Exact
CanCOGeNCovid19,gene_name_1,gene_name_1,100.0%,Exact
CanCOGeNCovid19,destination_of_most_recent_travel_country,destination_of_most_recent_travel_country,100.0%,Exact
CanCOGeNCovid19,amplicon_pcr_primer_scheme,amplicon_pcr_primer_scheme,100.0%,Exact
CanCOGeNCovid19,sample_collection_date,sample_collection_date,100.0%,Exact
CanCOGeNCovid19,signs_and_symptoms,signs_and_symptoms,100.0%,Exact
CanCOGeNCovid19,host_health_state,host_health_state,100.0%,Exact
CanCOGeNCovid19,exposure_setting,exposure_setting,100.0%,Exact
CanCOGeNCovid19,sequence_submitter_contact_address,sequence_submitter_contact_address,100.0%,Exact
CanCOGeNCovid19,amplicon_size,amplicon_size,100.0%,Exact
CanCOGeNCovid19,breadth_of_coverage_value,breadth_of_coverage_value,100.0%,Exact
CanCOGeNCovid19,anatomical_part,anatomical_part,100.0%,Exact
CanCOGeNCovid19,vaccination_history,vaccination_history,100.0%,Exact
CanCOGeNCovid19,destination_of_most_recent_travel_city,destination_of_most_recent_travel_city,100.0%,Exact
CanCOGeNCovid19,purpose_of_sampling_details,purpose_of_sampling_details,100.0%,Exact
CanCOGeNCovid19,diagnostic_pcr_ct_value_5,diagnostic_pcr_ct_value_3,96.0%,Fuzzy
CanCOGeNCovid19,vaccination_dose_1_vaccine_name,vaccination_dose_1_vaccine_name,100.0%,Exact
CanCOGeNCovid19,diagnostic_pcr_ct_value_3,diagnostic_pcr_ct_value_3,100.0%,Exact
CanCOGeNCovid19,r2_fastq_filepath,r2_fastq_filepath,100.0%,Exact
CanCOGeNCovid19,gisaid_accession,gisaid_accession,100.0%,Exact
CanCOGeNCovid19,depth_of_coverage_threshold,depth_of_coverage_threshold,100.0%,Exact
CanCOGeNCovid19,host_vaccination_status,host_vaccination_status,100.0%,Exact
CanCOGeNCovid19,collection_device,collection_device,100.0%,Exact
CanCOGeNCovid19,host_age_bin,host_age_bin,100.0%,Exact
CanCOGeNCovid19,gene_name_5,gene_name_1,90.9%,Fuzzy
CanCOGeNCovid19,complications,complications,100.0%,Exact
CanCOGeNCovid19,r1_fastq_filepath,r1_fastq_filepath,100.0%,Exact
CanCOGeNCovid19,sequence_submitter_contact_email,sequence_submitter_contact_email,100.0%,Exact
CanCOGeNCovid19,raw_sequence_data_processing_method,raw_sequence_data_processing_method,100.0%,Exact
CanCOGeNCovid19,diagnostic_pcr_ct_value_2,diagnostic_pcr_ct_value_2,100.0%,Exact
CanCOGeNCovid19,vaccination_dose_1_vaccination_date,vaccination_dose_1_vaccination_date,100.0%,Exact
CanCOGeNCovid19,specimen_processing_details,specimen_processing_details,100.0%,Exact
CanCOGeNCovid19,fast5_filepath,fast5_filepath,100.0%,Exact
CanCOGeNCovid19,purpose_of_sequencing,purpose_of_sequencing,100.0%,Exact
CanCOGeNCovid19,number_of_base_pairs_sequenced,number_of_base_pairs_sequenced,100.0%,Exact
CanCOGeNCovid19,host_common_name,host_common_name,100.0%,Exact
